Entry,Protein names
A0A4W3INL9,"Potassium voltage-gated channel, Shab-related subfamily, member 1"
A0A016S683,Cyclic nucleotide-binding domain-containing protein
A0A226DXU1,Sodium channel protein
A0A267H0Q0,Cyclic nucleotide-binding domain-containing protein
A0A1L8HTY9,cyclic nucleotide-gated channel rod photoreceptor subunit alpha
A0A1R2CH56,Cyclic nucleotide-binding domain-containing protein
A0A0M0LQZ2,Voltage-gated ion channel superfamily
F0Y7M5,Uncharacterized protein
A0A0D2VR75,Ion transport domain-containing protein
L1J902,PH domain-containing protein
T1G6J5,Cyclic nucleotide-binding domain-containing protein
A0A7J6Z002,Cyclic nucleotide-binding domain-containing protein
A0A4Y2B3B8,Potassium voltage-gated channel protein Shal
A0A3M0LDQ2,KCNF1 protein
A0A0M0J314,Cyclic nucleotide-binding protein
A0A024UVH5,Ion transport domain-containing protein
A0A7E6EVR7,Voltage-dependent T-type calcium channel subunit alpha
A0A267E2B5,Voltage-dependent L-type calcium channel subunit alpha
A0A0L0SM44,Ion transport domain-containing protein
S4RRY1,Sodium channel protein
A0A4Z2F288,Transient receptor potential cation channel subfamily M member 1
A0A5S6PPK3,"BMA-TRP-2, isoform d; Transient-receptor-potential like protein, putative"
A0A423TGU5,Putative EAG
A0A3S0Z9N0,Cyclic nucleotide-binding domain-containing protein
A0A2Z7CMK5,Potassium channel
A0CZY2,"Chromosome undetermined scaffold_32, whole genome shotgun sequence"
A0EAY6,"Chromosome undetermined scaffold_87, whole genome shotgun sequence"
A0A6A4XCG6,Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 2
L1JGH6,EF-hand domain-containing protein
A0A2G4YM27,Cyclic nucleotide-binding protein
A0A5J4NHB7,Voltage-dependent calcium channel N type alpha-1B
A0A5A7QJW2,Potassium channel
A0A7M7SUY6,Sodium channel protein
A0A0N4VS36,BTB domain-containing protein
A0A2A2L068,Ion transport domain-containing protein
L1JBG1,EF-hand domain-containing protein
A0A1Y9HUB7,Sodium channel protein
A0A2Z7B3C9,Cyclic nucleotide-gated ion channel 15
A0A177B2L2,Sodium channel protein
A0A0B2UVL9,Potassium voltage-gated channel subfamily B member 1
A0A3M7QXV3,Transient receptor potential cation channel subfamily M member
Q07652,"Voltage-dependent R-type calcium channel subunit alpha-1E (BII) (Brain calcium channel II) (Calcium channel, L type, alpha-1 polypeptide, isoform 6) (RBE-II) (RBE2) (Voltage-gated calcium channel subunit alpha Cav2.3)"
A0A5A7RHY8,Cyclic nucleotide-gated ion channel
A0A0N4U3K1,Voltage-dependent L-type calcium channel subunit alpha
A0BDT8,"Chromosome undetermined scaffold_101, whole genome shotgun sequence"
L1IFM0,EF-hand domain-containing protein
A0A4E0RSW7,Cyclic nucleotide-gated channel cone photoreceptor subunit alpha
A0A1D2M818,Transient receptor potential channel pyrexia
A0A226ERH4,Transient receptor potential channel pyrexia
R1DBB9,EF-hand domain-containing protein
T1EH93,Sodium channel protein
A0A444UH25,Potassium voltage-gated channel subfamily A member 4 (Voltage-gated potassium channel subunit Kv1.4)
A0A5C6M4A4,Ion transport domain-containing protein
A0A0V0QBR0,BK channel (Maxi K channel)
A0A0V0Y740,BK channel (Maxi K channel)
A0A4Y2G432,Ryanodine receptor
A0A0R0IFJ2,Cyclic nucleotide-binding domain-containing protein
A0A662YPH8,Potassium voltage-gated channel subfamily KQT member 1
A0A3P7IVK9,Ion transport domain-containing protein
A0A7M7PQM1,Uncharacterized protein
A0A078AST0,Wd-40 repeat protein
A0A0B1S869,"Transporter, cation channel family protein"
X6LAA3,Ion transport domain-containing protein
L1J0F9,Ion transport domain-containing protein
A0A7M7N0C9,Transient receptor potential cation channel subfamily M member 2
A0A3M7SCN0,Hyperpolarization activated cyclic
E9HIQ9,RIH_assoc domain-containing protein
A0A6P6YKU2,potassium voltage-gated channel protein Shab-like
A0A6P4YHV0,potassium voltage-gated channel subfamily A member 7-like
A0A6N1DNV4,Ion transporter
A0A6L5CAK8,Ion transport domain-containing protein
X6N953,EF-hand domain-containing protein
A0A653BTA2,Ion transport domain-containing protein
A0A1Q9EN51,Putative voltage-dependent R-type calcium channel subunit alpha-1E
A0A2R2MKV0,potassium voltage-gated channel subfamily H member 8
A0A7J7BK14,Ion transport domain-containing protein
A0A1L8FNI1,potassium voltage-gated channel subfamily A member 7
A0A7M7MZ08,"Inositol 1,4,5-trisphosphate receptor"
A0A267H212,BTB domain-containing protein
A0A024TV74,Ion transport domain-containing protein
A0A7M7N0F8,Transient receptor potential cation channel subfamily M member 2
B8C321,Cyclic nucleotide and voltage-activated ion channel
A0A267DLW1,Ion transport domain-containing protein
A0A1S3JN09,ryanodine receptor-like
Q9Y210,Short transient receptor potential channel 6 (TrpC6) (Transient receptor protein 6) (TRP-6)
A0A011RHP9,Ion transport protein
A0A1Q9EY57,Sodium channel protein type 11 subunit alpha
A0A226EJ99,Voltage-dependent calcium channel type A subunit alpha-1
L1JLS3,Cyclic nucleotide-binding domain-containing protein
A0A1D2MFD0,Sodium channel protein para
V8N829,Short transient receptor potential channel 5
A0A183A8J3,Cyclic nucleotide-binding domain-containing protein
A0A5B7ENT9,Voltage-dependent T-type calcium channel subunit alpha-1H
A0A4U5P1L7,Ion transport domain-containing protein
A0A0B2VXU6,Cyclic nucleotide-gated cation channel beta-1
A0A383WEV7,Ion transport domain-containing protein
T1HEU1,Sodium channel protein
A0A0M0JLV0,Sodium channel protein type 9 subunit alpha
R1CL17,EF-hand domain-containing protein
A0A6P5ADY4,"Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha) (Slo1) (Slowpoke homolog)"
A0A2G9S148,Ion transport domain-containing protein
A9VAF6,Ion transport domain-containing protein
L1K1V1,Ion transport domain-containing protein
L1J973,Ion transport domain-containing protein
A0A3S1A0F1,Cyclic nucleotide-binding domain-containing protein
F2U5C1,Voltage-dependent calcium channel T type alpha 1G subunit domain II
A0A0H2RJC7,Ion transport domain-containing protein
A0A5E4NQY0,"Transient receptor potential channel,Transient receptor potential channel, canonical,Ion transport"
A0A0G4EKS2,Ion transport domain-containing protein
A0A2I0T1S8,Ion transport domain-containing protein
A0A3M0JU71,LRRNT domain-containing protein
A0A1R2BR19,Ion transport domain-containing protein
H3GC00,Ion transport domain-containing protein
O35173,Potassium voltage-gated channel subfamily S member 1 (Delayed-rectifier K(+) channel alpha subunit 1) (Voltage-gated potassium channel subunit Kv9.1)
A0C5N7,"Chromosome undetermined scaffold_150, whole genome shotgun sequence"
V4AM04,BTB domain-containing protein
A0A267GXC6,Ion transport domain-containing protein
A0A7M7SUZ8,SH3 domain-containing protein
A0A0M0JZ35,Voltage-dependent l-type calcium channel subunit alpha-1f
W7XKP9,Cyclic nucleotide-binding domain protein
L1ISI8,MIR domain-containing protein
A0A016UQ76,Cyclic nucleotide-binding domain-containing protein
A0A2G8JPY6,Putative short transient receptor potential channel 4 isoform X4
A0A2G5EHX0,Ion transport domain-containing protein
A0A1S4GPE9,Uncharacterized protein
F0NZE4,Ion transport protein
A0A1Y1XW19,Ion transport domain-containing protein
A0A1S4EE79,sodium leak channel non-selective protein-like
A0A024G8E9,Cyclic nucleotide-binding domain-containing protein
A0A2A2K7U1,Ion transport domain-containing protein
A0A192IIF2,Cyclic nucleotide-binding domain-containing protein
A0A139WGD8,Cyclic nucleotide-binding domain-containing protein
A0A1I0ZR55,Voltage-gated potassium channel
A0A7E6EM43,"Inositol 1,4,5-trisphosphate receptor"
A0A1X7UFR7,Ion transport domain-containing protein
A0A1S3DAN9,LOW QUALITY PROTEIN: cyclic nucleotide-gated cation channel subunit A-like
A0A2P4TDV4,Ion transport domain-containing protein
A0A1Q9E8D1,Two pore calcium channel protein 1
A0A1Q9EXI5,Calmodulin
A0A0B1RYL0,Ion transport domain-containing protein
V3ZVR2,BTB domain-containing protein
M7BES4,Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 4
A0A1D1V315,Cyclic nucleotide-binding domain-containing protein
Q7Z002,Voltage-dependent T-type calcium channel subunit alpha
A0A4R1N019,Voltage-gated potassium channel
A0A1J1IKK2,"CLUMA_CG012211, isoform A"
A0BV23,"Chromosome undetermined scaffold_13, whole genome shotgun sequence"
H3GS39,Ion transport domain-containing protein
W7XGG6,Cation channel family protein
A9JTD2,Potassium voltage-gated channel subfamily A member 2 (Voltage-gated potassium channel subunit Kv1.2)
T1G6M4,Ion transport domain-containing protein
F2UDM6,Ion transport domain-containing protein
A0A3Q0KEE2,Putative voltage-gated potassium channel
A0A7M6W896,Voltage-dependent L-type calcium channel subunit alpha
A0A2A2J9M4,Ion transport domain-containing protein
A0A2K3DJW6,Ion transport domain-containing protein
A0A4Z2EKP2,Sodium channel protein type 2 subunit alpha
A0A4P9W111,Ion transport domain-containing protein
A0A0M3K377,Ion transport domain-containing protein
A0A1L8GQW8,Potassium voltage-gated channel subfamily KQT member 1 (KQT-like 1) (Voltage-gated potassium channel subunit Kv7.1)
A0A1Q9DUY1,Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 4
A0A0K9PWQ1,Two pore calcium channel protein 1
A0A2P4TAC8,Ion transport domain-containing protein
A0BI79,"Chromosome undetermined scaffold_109, whole genome shotgun sequence"
A0A1Q9EAP8,Calmodulin
A0A2Z6R149,Ion transport domain-containing protein
L1ILB3,EF-hand domain-containing protein
L1JLU2,EF-hand domain-containing protein
A0A443R4I8,Sodium leak channel non-selective protein-like protein
A0A2Z6R0P4,Ion transport domain-containing protein
A0A3P7LWW8,Ion transport domain-containing protein
H3GPA9,Ion transport domain-containing protein
A9V4X3,Ion transport domain-containing protein
A0A6V7UKV2,Ion transport domain-containing protein
A0A1Q9ERQ8,Voltage-dependent T-type calcium channel subunit alpha-1H
L1JP82,EF-hand domain-containing protein
A0A7M6DQB2,Sodium channel protein
A0A016RUS0,Ion transport domain-containing protein
T1FX16,Cyclic nucleotide-binding domain-containing protein
A0A183VMD9,Voltage-dependent L-type calcium channel subunit alpha
A0A0K0D486,Ion transport domain-containing protein
A0A1Q9DLJ8,Potassium voltage-gated channel subfamily B member 2
A0A4E0RYA4,Potassium voltage-gated channel subfamily C member 2
A0A4E0REV6,Potassium voltage-gated channel protein egl-36
A0A1Q9D3Z1,Calmodulin
A0A0N4VND3,Ion_trans domain-containing protein
E4XDU8,Ion transport domain-containing protein
A0A1R2APD4,Ion transport domain-containing protein
S4RRF1,Ion transport domain-containing protein
A0A1Q9EV50,Sodium channel protein type 11 subunit alpha
A0A078ATT9,Cation channel family protein
A0A2K3E228,Cyclic nucleotide-binding domain-containing protein
A0A183WI62,Ion transport domain-containing protein
A0A2I0U9Z7,Ion transport domain-containing protein
A0A158NHB7,EF-hand domain-containing protein
A0A6H5HZ76,Cyclic nucleotide-binding domain-containing protein
A0A4U5NGS0,Ion transport domain-containing protein
A0A016VS02,Ion transport domain-containing protein
A0A1R2CFP6,Cyclic nucleotide-binding domain-containing protein
A0A1R2CNH2,Cyclic nucleotide-binding domain-containing protein
A0A2G5DC25,Potassium channel
O88704,Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 1 (Brain cyclic nucleotide-gated channel 1) (BCNG-1) (Hyperpolarization-activated cation channel 2) (HAC-2)
A0A2Z6QZT0,Ion transport domain-containing protein
A0A507FEJ3,Ion transport domain-containing protein
A0A553NF34,Ion transport domain-containing protein
A0A0B2V974,Potassium voltage-gated channel subfamily B member 1
A0A2R8Q685,Potassium voltage-gated channel subfamily B member 1 (Voltage-gated potassium channel subunit Kv2.1)
A0A1Q9CU37,Calmodulin
A0A0M0JR26,Cyclic nucleotide-binding protein
A0A0K9NLS8,Potassium channel
A0A3P7IM36,Ion transport domain-containing protein
A0A518EP88,Cyclic nucleotide-gated potassium channel
A0A6P4YQW2,uncharacterized protein LOC109466352
A0A397U5A3,Ion transport domain-containing protein
A0A210R099,Ankyrin-1
A0A139WCP4,Ion transport domain-containing protein
A0A444TYW2,Tetratricopeptide repeat protein 21B
A0A3S1B3Q2,EF-hand domain-containing protein
K7KRE0,Potassium channel
A0A4W3JEH9,Transient receptor potential cation channel subfamily V member 4
A0A0N4XCY6,Ion_trans domain-containing protein
A0A1Q9D3J0,Voltage-dependent P/Q-type calcium channel subunit alpha-1A
A0A6N7EW44,Ion transporter
A0A1Y1XHY3,Uncharacterized protein
A0A553P2W6,BTB domain-containing protein
A0A4V6A4M6,BTB domain-containing protein
A0A7E6F6U2,Sodium channel protein
A8B6E8,"Calcium channel, voltage-dependent, R type, alpha 1E subunit b (voltage-dependent R-type calcium channel subunit alpha-1E isoform X2)"
Q7QFD0,AGAP000413-PA
A0A0M0J6H6,Cyclic nucleotide-binding protein
A0A6P8IBZ0,Voltage-dependent L-type calcium channel subunit alpha
A0A1X7T0J8,Ion transport domain-containing protein
A0A2P4SN85,Ion transport domain-containing protein
A0A7J6Z942,Ion transport domain-containing protein
A0A444URG6,Voltage-dependent P/Q-type calcium channel subunit alpha-1A
R7UCL2,Ion transport domain-containing protein
A0A1Q9E4D4,Calmodulin
A0A4Z2IM74,"Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase TPTE2"
A0A2N3PTV3,Ion transporter
A0A662YTI4,Short transient receptor potential channel 7
L1I6V0,PH domain-containing protein
F3ZXJ8,Ion transport 2 domain protein
A0A5B7CI92,Sodium channel protein 60E
A0A4W3GLY5,Cation channel sperm associated 2
A0A1D1VC97,Cyclic nucleotide-binding domain-containing protein
R1DBK9,Voltage dependent ion channel
A0A7M5X9U2,Uncharacterized protein
A0A2G9TEU2,Ion transport domain-containing protein
A0A1S3J265,potassium voltage-gated channel subfamily H member 8-like
G5ECD2,BTB domain-containing protein
A0A6L5CWK6,Ion transport domain-containing protein
A0A4S2MAY0,Voltage-dependent L-type calcium channel subunit alpha
S4RVD7,"Transient receptor potential cation channel, subfamily V, member 6"
R1FC54,Ion transport domain-containing protein
A0A5E4M926,Cyclic nucleotide-binding domain-containing protein
A0A6P8YHV4,transient receptor potential channel pyrexia
A0A2G9SDU0,Sodium channel protein
A0A4Z2GZ41,Potassium voltage-gated channel subfamily G member 2
Q9ERZ8,Transient receptor potential cation channel subfamily V member 4 (TrpV4) (Osm-9-like TRP channel 4) (OTRPC4) (Vanilloid receptor-related osmotically-activated channel) (VR-OAC)
A0A4W3HM20,Ion transport domain-containing protein
A0A1R2CY30,Cyclic nucleotide-binding domain-containing protein
A0A2R2MPI7,transient receptor potential cation channel subfamily M member 3-like
A0A662YJT4,Sodium channel protein type 1 subunit alpha
A0A0V0XJN7,Potassium voltage-gated channel subfamily H member 7
A0A2P4T799,Ion transport domain-containing protein
A0A383VAB8,Cyclic nucleotide-binding domain-containing protein
A0A0G4EIL6,Ion transport domain-containing protein
A0A3M0JYC8,Ion transport domain-containing protein
A0A1J4KB32,Ion transport domain-containing protein
A0A3P6UD69,Ion transport domain-containing protein
H6L0L1,Putative cation transporter component
A0A6P5ADX2,"Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha) (Slo1) (Slowpoke homolog)"
A0A4W3HMQ9,Sodium channel protein
A0A210Q360,Transient receptor potential cation channel subfamily M member 3
A0A5A8CQL7,Ion transport domain-containing protein
A0A2I0UQX4,Potassium voltage-gated channel subfamily h member 8
V8N3X9,Cation channel sperm-associated protein 2
A0A1Y1HUV7,EF-hand domain-containing protein
A0A177AYD0,RIH_assoc domain-containing protein
F1N8I1,Sodium channel protein
A0A4Y2HY55,Sodium channel protein 60E
A0A1Q9CZV6,Retrovirus-related Pol polyprotein from transposon TNT 1-94
P63141,Potassium voltage-gated channel subfamily A member 2 (MK2) (Voltage-gated potassium channel subunit Kv1.2)
A0A4W3J9T6,Transient receptor potential cation channel subfamily C member 5
E0VCX2,"Voltage-gated channel, putative"
A0A444U5G5,Potassium voltage-gated channel subfamily KQT member 5
X6MJ94,Ion transport domain-containing protein
A0A226E2I2,Cation channel sperm-associated protein 4
C5M158,"Potassium channel GORK, putative"
A0A7E6F6M3,transient receptor potential cation channel subfamily A member 1-like isoform X1
A0A4W3H0A0,Potassium voltage-gated channel modifier subfamily S member 3
A0A4Y2SRS0,Voltage-dependent T-type calcium channel subunit alpha-1H
Q03717,Potassium voltage-gated channel subfamily B member 1 (Voltage-gated potassium channel subunit Kv2.1) (mShab)
A0A137NVV6,EF-hand domain-containing protein
Q9Y3Q4,Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 4
A0A199UPG3,Potassium channel
G7DV82,Ion transport domain-containing protein
A0A1J4JI33,Ion transport domain-containing protein
A0A0B2VDR6,Sodium leak channel non-selective protein
A0A5E4NLC0,BK channel (Maxi K channel)
A0A6V7XN15,Cyclic nucleotide-binding domain-containing protein
A0A1S3K9N2,short transient receptor potential channel 6-like
A0A653DF62,Ion transport domain-containing protein
Q7PNA8,AGAP008200-PA
A0A4Z2J9L5,Potassium voltage-gated channel subfamily C member 1
A0A6L5CY93,Ion transport domain-containing protein
Q14524,Sodium channel protein type 5 subunit alpha (Sodium channel protein cardiac muscle subunit alpha) (Sodium channel protein type V subunit alpha) (Voltage-gated sodium channel subunit alpha Nav1.5) (hH1)
A0A0G4EP73,EF-hand domain-containing protein
A0A0M0JCK7,Two pore calcium channel protein 1
A0A1N7SYU4,EF-hand domain-containing protein
A0A6P4ZTQ3,"Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha) (Slo1) (Slowpoke homolog)"
A0A1L8GD44,Potassium voltage-gated channel subfamily KQT member 1 (KQT-like 1) (Voltage-gated potassium channel subunit Kv7.1)
A0A1L8H907,sodium leak channel non-selective protein isoform X2
T1HLK2,Potassium voltage-gated channel subfamily H member 8
A0A3M7QZ41,Cyclic nucleotide-gated olfactory channel
A0A6L2PYZ3,Cyclic nucleotide-binding domain-containing protein
A7RL21,Potassium voltage-gated channel subfamily A member 3-like
A0A397WAI6,Ion transport domain-containing protein
A0A267F969,Uncharacterized protein
A0A6P5ATT2,Voltage-dependent T-type calcium channel subunit alpha
P69744,Transient receptor potential cation channel subfamily V member 5 (TrpV5) (Calcium transport protein 2) (CaT2) (Epithelial calcium channel 1) (ECaC1) (Osm-9-like TRP channel 3) (OTRPC3)
A0A0N4XVW8,Ion_trans domain-containing protein
A0A0M0JUA1,Voltage-gated ion channel superfamily
A0A2P4SIT2,BTB domain-containing protein
A0A2R2MNN4,potassium voltage-gated channel subfamily KQT member 1-like isoform X1
A0A4U8UPV9,KQT-like 1
A0A267DHE8,BTB domain-containing protein
A0A5N5T281,Voltage-gated hydrogen channel 1 (Hydrogen voltage-gated channel 1)
A0A4S2M3Y3,Potassium voltage-gated channel subfamily H member 2 (Ether-a-go-go-related gene potassium channel 1) (Voltage-gated potassium channel subunit Kv11.1)
A0A2A2L5V8,Cyclic nucleotide-binding domain-containing protein
A0A4Z2HXP2,Two pore calcium channel protein 2
Q23DY9,Cation channel family protein
A0A1Q9C4Z1,Calmodulin
A0A1X7T7W5,Ion transport domain-containing protein
A0A267H4B4,BTB domain-containing protein
A0A267GYZ3,Ion transport domain-containing protein
A0A2G5DZU5,Cyclic nucleotide-binding domain-containing protein
F1NJH8,Transient receptor potential cation channel subfamily V member 1
A0A5B9P591,Cyclic nucleotide-gated potassium channel
A0A2A2K7W9,Ion transport domain-containing protein
D8Q6Y7,Ion transport domain-containing protein
A0A1S4GZB8,Ion transport domain-containing protein
Q9YDF8,Voltage-gated potassium channel (KvAP)
A0A5E4LXT9,"EF-hand domain pair,Ion transport domain"
A0A183D5Z9,Ion_trans domain-containing protein
A0A453YZR4,Cyclic nucleotide-binding domain-containing protein
A0A654H489,Sodium channel protein
A0A016VX92,BTB domain-containing protein
A0A3R7M520,Voltage-dependent L-type calcium channel subunit alpha
A0A1Q9DEE3,Calmodulin
O35174,Potassium voltage-gated channel subfamily S member 2 (Delayed-rectifier K(+) channel alpha subunit 2) (Voltage-gated potassium channel subunit Kv9.2)
A0A0L0DWN1,Ion transporter
A0A183AQL9,Uncharacterized protein
A0A077ZR42,Cation channel family protein
A0A2K3D953,Ion transport domain-containing protein
A0A5K4FAZ0,Cyclic nucleotide-binding domain-containing protein
A0A0D8Y7I1,"Transporter, cation channel family protein"
S4RXE3,Ion transport domain-containing protein
A0A7J7KN23,Ion transport domain-containing protein
A0A2F0BKL4,Potassium voltage-gated channel subfamily A member 2 (Voltage-gated potassium channel subunit Kv1.2)
G0QLK6,"Voltage-gated sodium channel alpha subunit isoform k, putative (EC 3.1.11.5)"
I7ML16,Cyclic nucleotide-binding protein
A0A7J7KE78,BTB domain-containing protein
A0A4W3JPP9,Transient receptor potential cation channel subfamily C member 5
A0E0Z7,"Chromosome undetermined scaffold_72, whole genome shotgun sequence"
A0A2K1JIK9,Ion transport domain-containing protein
A0A078A234,Cyclic nucleotide-binding domain-containing protein
L1JMK1,EF-hand domain-containing protein
A0A1R2ANB6,Cyclic nucleotide-binding domain-containing protein
A0A183VQJ2,BTB domain-containing protein
A0A267FFX1,Voltage-dependent L-type calcium channel subunit alpha
G0QTW7,Ion transport domain-containing protein
A0A2K3MN00,Cyclic nucleotide-gated ion channel 1-like protein
A0A078AS51,Wd-40 repeat protein
A0A6P6XM35,potassium voltage-gated channel protein Shaker-like
A0A267GZI3,BTB domain-containing protein
A0A3R7LPE1,Sodium channel protein
A0A5S6PW38,LSDAT_euk domain-containing protein
A0A2Z4FJY9,RCK N-terminal domain-containing protein
Q235U6,Cation channel family protein
A0A078B3J5,Cation channel family protein
A0A1R2C4Y3,Ion transport domain-containing protein
A0A2K3E893,Cyclic nucleotide-binding domain-containing protein
T1FRM4,EF-hand domain-containing protein
A0A6P8I0V8,voltage-dependent N-type calcium channel subunit alpha-1B-like
A0A7M5TSI7,Nudix hydrolase domain-containing protein
Q9BQ31,Potassium voltage-gated channel subfamily S member 3 (Delayed-rectifier K(+) channel alpha subunit 3) (Voltage-gated potassium channel subunit Kv9.3)
A0A3S1HED0,Ion transport domain-containing protein
Q9QX01,Short transient receptor potential channel 1 (TrpC1) (Transient receptor protein 1) (TRP-1)
A0A1Q9CVX6,Calmodulin
K1RYU6,Potassium voltage-gated channel subfamily H member 7
A0A1Q9EYN0,Voltage-dependent T-type calcium channel subunit alpha-1G
A0A2C6KIC9,3 5-cyclic nucleotide phosphodiesterase domain-containing protein
A0A0L0TB33,Cyclic nucleotide-binding domain-containing protein
A0A0V0Y7G8,BK channel (Maxi K channel)
A0A0N4UMN5,BTB domain-containing protein
A0A7M5UYD9,"Inositol 1,4,5-trisphosphate receptor"
A0A2G5F7E9,Cyclic nucleotide-binding domain-containing protein
A0A7I8VS39,DgyrCDS7753
A0A024UWJ3,MIR domain-containing protein
A0A1S4GXK3,Uncharacterized protein
A0A1Q9E6Z3,Calmodulin
F2U850,Ion_trans domain-containing protein
A0A1D1V2T8,Cyclic nucleotide-binding domain-containing protein
A0A7M7NMB0,Ion transport domain-containing protein
I7M9B7,Phosphodiesterase (EC 3.1.4.-)
L1IPU8,Cyclic nucleotide-binding domain-containing protein
A0A2G9UWR4,Ion transport domain-containing protein
A0A0K9RD19,Potassium channel
A0A7M5U2G6,Voltage-dependent L-type calcium channel subunit alpha
A6GYY3,Probable ion transporter
A0A0S4IMM4,"Voltage-gated potassium transporter, putative"
A0A0G2HF72,Putative calcium channel subunit cch1
A0A1R2C4X0,Cyclic nucleotide-binding domain-containing protein
A0A158QB16,ANK_REP_REGION domain-containing protein
A0A4Z2J4B5,Potassium voltage-gated channel subfamily G member 2
A0A5S6PR71,ANK_REP_REGION domain-containing protein
A0A397VRH0,Ion transport domain-containing protein
A0A6P4ZQ49,voltage-dependent P/Q-type calcium channel subunit alpha-1A-like isoform X5
A0A1D5PI98,Potassium voltage-gated channel subfamily B member 2
A0A6I9HBZ4,LOW QUALITY PROTEIN: cGMP-gated cation channel alpha-1
A0A0V0QZC6,Ion transport domain-containing protein
A0A4Q3JMW3,Ion transporter
A0A657AVN5,Ion transport domain-containing protein
A0A388KXI2,Ion transport domain-containing protein
A0A1Q9DNH2,Calmodulin
A2ASI5,Sodium channel protein type 3 subunit alpha (Sodium channel protein brain III subunit alpha) (Sodium channel protein type III subunit alpha) (Voltage-gated sodium channel subtype III) (Voltage-gated sodium channel subunit alpha Nav1.3)
A0A6G0V5G1,Voltage-dependent T-type calcium channel subunit alpha
A0A4Z2IX52,Potassium voltage-gated channel subfamily A member 3
A0DXK4,"Chromosome undetermined scaffold_69, whole genome shotgun sequence"
A0A2T7PLN4,Cyclic nucleotide-binding domain-containing protein
T1G411,Ion transport domain-containing protein
A0A3P7LQZ5,Ion transport domain-containing protein
A0A267G2J0,Ion transport domain-containing protein
A0A164NGT5,Ion transport domain-containing protein
Q22Z31,Cation channel family transporter
A0A0G4FQW5,Ion transport domain-containing protein
A0A482X426,Ion transport domain-containing protein
A0A1Q9CUY1,Scn2a protein (Sodium channel protein type 2 subunit alpha)
D3ZIU8,Voltage-gated hydrogen channel 1 (Hydrogen voltage-gated channel 1)
A0A6I9HJS8,Potassium voltage-gated channel subfamily B member 2
A0A4U8UPT5,Ion transport domain-containing protein
A0A7M5WZ48,Cyclic nucleotide-binding domain-containing protein
A0A078A6A2,Wd-40 repeat protein
A0A4Z2GP10,Voltage-dependent L-type calcium channel subunit alpha-1C
